Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
498,J of Hearts,9 of Hearts,5 of Spades,A of Hearts,10 of Clubs,6 of Hearts,Q of Hearts,10 of Spades,2 of Spades,8 of Diamonds,3 of Diamonds,Q of Diamonds,4 of Hearts,3 of Hearts,4 of Clubs
499,10 of Diamonds,4 of Spades,7 of Clubs,5 of Clubs,Q of Diamonds,8 of Hearts,2 of Clubs,Q of Spades,10 of Clubs,9 of Clubs,A of Diamonds,4 of Clubs,Q of Clubs,8 of Diamonds,K of Hearts
500,4 of Diamonds,9 of Hearts,3 of Clubs,5 of Clubs,2 of Diamonds,5 of Spades,Q of Clubs,5 of Diamonds,J of Clubs,A of Diamonds,8 of Hearts,Q of Spades,9 of Clubs,4 of Spades,J of Diamonds
501,4 of Diamonds,K of Diamonds,A of Clubs,6 of Clubs,4 of Hearts,Q of Diamonds,6 of Diamonds,7 of Diamonds,Q of Spades,9 of Diamonds,2 of Diamonds,J of Hearts,8 of Hearts,10 of Diamonds,6 of Spades
502,5 of Diamonds,8 of Diamonds,Q of Clubs,4 of Diamonds,9 of Spades,7 of Clubs,2 of Hearts,7 of Hearts,3 of Clubs,J of Diamonds,2 of Diamonds,K of Diamonds,5 of Clubs,Q of Spades,6 of Spades
503,7 of Diamonds,6 of Hearts,Q of Diamonds,3 of Hearts,4 of Clubs,A of Hearts,Q of Spades,3 of Diamonds,5 of Hearts,K of Clubs,J of Spades,7 of Spades,K of Hearts,J of Diamonds,6 of Clubs
504,Q of Diamonds,3 of Spades,J of Clubs,4 of Clubs,5 of Spades,4 of Spades,K of Hearts,9 of Hearts,8 of Diamonds,Q of Spades,3 of Hearts,6 of Hearts,2 of Hearts,Q of Hearts,5 of Clubs
505,9 of Diamonds,7 of Spades,4 of Diamonds,4 of Spades,Q of Hearts,10 of Spades,A of Clubs,8 of Spades,K of Hearts,A of Spades,2 of Clubs,9 of Clubs,6 of Spades,8 of Clubs,6 of Diamonds
506,6 of Hearts,3 of Hearts,Q of Diamonds,8 of Hearts,Q of Clubs,10 of Spades,J of Diamonds,3 of Diamonds,Q of Spades,10 of Hearts,6 of Clubs,5 of Diamonds,5 of Hearts,A of Diamonds,10 of Clubs
507,9 of Hearts,3 of Clubs,6 of Spades,J of Clubs,9 of Diamonds,10 of Hearts,9 of Spades,Q of Hearts,Q of Diamonds,10 of Clubs,4 of Clubs,7 of Clubs,2 of Clubs,5 of Diamonds,7 of Diamonds
508,4 of Diamonds,7 of Spades,J of Spades,3 of Clubs,10 of Spades,10 of Hearts,5 of Diamonds,2 of Diamonds,9 of Hearts,7 of Diamonds,8 of Diamonds,K of Diamonds,K of Clubs,10 of Clubs,6 of Spades
509,3 of Clubs,9 of Spades,A of Hearts,J of Diamonds,3 of Diamonds,9 of Clubs,Q of Diamonds,5 of Spades,6 of Clubs,4 of Hearts,8 of Hearts,3 of Spades,8 of Diamonds,A of Spades,J of Clubs
510,8 of Diamonds,2 of Hearts,5 of Hearts,3 of Hearts,6 of Diamonds,J of Diamonds,3 of Clubs,A of Clubs,K of Clubs,9 of Clubs,6 of Hearts,3 of Spades,J of Clubs,10 of Clubs,8 of Hearts
511,6 of Spades,10 of Clubs,K of Spades,J of Diamonds,5 of Clubs,A of Hearts,6 of Hearts,J of Spades,3 of Clubs,5 of Diamonds,Q of Hearts,9 of Diamonds,Q of Spades,J of Hearts,K of Hearts
512,6 of Diamonds,5 of Clubs,A of Hearts,9 of Spades,7 of Diamonds,6 of Hearts,3 of Hearts,J of Hearts,K of Diamonds,8 of Spades,3 of Diamonds,8 of Hearts,J of Diamonds,2 of Hearts,9 of Diamonds
513,K of Spades,8 of Clubs,4 of Diamonds,5 of Diamonds,8 of Diamonds,9 of Hearts,Q of Spades,6 of Clubs,J of Diamonds,8 of Hearts,K of Diamonds,J of Hearts,A of Spades,2 of Spades,J of Spades
514,A of Diamonds,4 of Diamonds,7 of Diamonds,J of Diamonds,Q of Clubs,A of Clubs,8 of Diamonds,J of Hearts,J of Spades,5 of Hearts,8 of Clubs,7 of Spades,Q of Hearts,8 of Spades,A of Hearts
515,8 of Hearts,J of Hearts,Q of Spades,K of Clubs,Q of Clubs,8 of Diamonds,J of Clubs,7 of Spades,9 of Diamonds,4 of Spades,7 of Diamonds,6 of Clubs,5 of Hearts,7 of Clubs,Q of Hearts
516,6 of Clubs,6 of Spades,8 of Spades,2 of Spades,A of Diamonds,3 of Spades,7 of Diamonds,4 of Diamonds,K of Diamonds,4 of Hearts,J of Clubs,5 of Spades,K of Hearts,9 of Diamonds,7 of Spades
517,10 of Clubs,J of Hearts,5 of Hearts,4 of Diamonds,2 of Clubs,K of Diamonds,6 of Clubs,3 of Clubs,7 of Spades,9 of Hearts,J of Diamonds,K of Spades,9 of Diamonds,3 of Hearts,4 of Clubs
518,2 of Hearts,3 of Clubs,8 of Diamonds,5 of Diamonds,10 of Diamonds,K of Diamonds,9 of Hearts,10 of Spades,7 of Clubs,J of Spades,3 of Hearts,2 of Diamonds,K of Spades,J of Diamonds,4 of Hearts
519,9 of Spades,2 of Spades,3 of Spades,K of Clubs,7 of Spades,10 of Spades,4 of Spades,J of Clubs,2 of Hearts,6 of Clubs,3 of Hearts,A of Diamonds,5 of Diamonds,8 of Diamonds,7 of Diamonds
520,5 of Spades,6 of Spades,5 of Clubs,Q of Diamonds,5 of Diamonds,Q of Clubs,7 of Spades,4 of Hearts,4 of Spades,6 of Diamonds,9 of Hearts,Q of Hearts,9 of Clubs,3 of Hearts,3 of Spades
521,5 of Diamonds,10 of Clubs,J of Clubs,3 of Diamonds,5 of Hearts,7 of Diamonds,2 of Hearts,6 of Hearts,8 of Spades,6 of Spades,7 of Spades,K of Hearts,A of Diamonds,6 of Clubs,10 of Hearts
522,6 of Hearts,2 of Clubs,4 of Spades,3 of Clubs,8 of Spades,9 of Spades,8 of Diamonds,5 of Diamonds,6 of Spades,J of Spades,2 of Spades,3 of Diamonds,8 of Hearts,10 of Diamonds,7 of Clubs
523,7 of Clubs,5 of Clubs,7 of Spades,6 of Spades,5 of Hearts,A of Spades,10 of Clubs,2 of Diamonds,8 of Clubs,3 of Clubs,3 of Spades,4 of Clubs,K of Hearts,7 of Hearts,9 of Spades
524,9 of Diamonds,10 of Diamonds,K of Hearts,J of Hearts,6 of Hearts,2 of Clubs,7 of Hearts,2 of Hearts,4 of Diamonds,9 of Clubs,Q of Clubs,8 of Spades,5 of Diamonds,Q of Spades,6 of Diamonds
525,J of Clubs,9 of Spades,Q of Clubs,Q of Spades,7 of Clubs,3 of Spades,6 of Diamonds,K of Diamonds,7 of Hearts,Q of Hearts,3 of Clubs,K of Clubs,8 of Hearts,A of Hearts,10 of Hearts
526,5 of Hearts,9 of Diamonds,K of Clubs,K of Diamonds,3 of Clubs,2 of Spades,2 of Diamonds,Q of Spades,Q of Clubs,7 of Hearts,8 of Diamonds,6 of Spades,4 of Hearts,8 of Clubs,K of Spades
527,7 of Spades,K of Spades,5 of Hearts,2 of Clubs,8 of Spades,J of Spades,J of Diamonds,2 of Hearts,2 of Spades,K of Clubs,6 of Clubs,7 of Clubs,7 of Hearts,8 of Hearts,J of Clubs
528,A of Spades,K of Clubs,3 of Diamonds,4 of Spades,J of Spades,A of Clubs,5 of Spades,K of Spades,7 of Spades,3 of Hearts,10 of Spades,9 of Diamonds,K of Hearts,J of Diamonds,2 of Spades
529,9 of Clubs,3 of Clubs,K of Hearts,A of Diamonds,A of Hearts,6 of Clubs,8 of Clubs,9 of Hearts,5 of Clubs,2 of Diamonds,4 of Clubs,K of Diamonds,J of Diamonds,9 of Spades,J of Clubs
530,J of Clubs,3 of Hearts,J of Spades,10 of Hearts,4 of Clubs,6 of Clubs,7 of Hearts,6 of Diamonds,A of Hearts,9 of Diamonds,Q of Hearts,2 of Clubs,J of Diamonds,4 of Spades,A of Diamonds
531,5 of Diamonds,7 of Spades,10 of Spades,7 of Diamonds,2 of Diamonds,5 of Clubs,2 of Spades,7 of Hearts,Q of Diamonds,9 of Clubs,A of Hearts,4 of Clubs,K of Hearts,9 of Hearts,J of Spades
532,2 of Diamonds,5 of Diamonds,8 of Hearts,6 of Clubs,7 of Spades,7 of Hearts,A of Spades,Q of Spades,2 of Spades,K of Spades,5 of Hearts,9 of Hearts,4 of Hearts,4 of Diamonds,J of Spades
533,7 of Diamonds,3 of Spades,9 of Clubs,Q of Hearts,7 of Hearts,5 of Diamonds,8 of Diamonds,A of Spades,A of Clubs,A of Hearts,6 of Clubs,K of Diamonds,4 of Clubs,4 of Diamonds,4 of Hearts
534,3 of Clubs,A of Hearts,8 of Clubs,7 of Clubs,K of Diamonds,J of Hearts,Q of Diamonds,5 of Diamonds,9 of Spades,10 of Hearts,Q of Clubs,5 of Hearts,4 of Hearts,A of Spades,9 of Diamonds
535,K of Hearts,7 of Spades,7 of Clubs,3 of Hearts,8 of Diamonds,4 of Spades,4 of Clubs,2 of Hearts,8 of Hearts,2 of Spades,6 of Spades,Q of Diamonds,3 of Clubs,5 of Clubs,10 of Hearts
536,2 of Diamonds,4 of Clubs,10 of Clubs,5 of Diamonds,5 of Hearts,7 of Spades,9 of Clubs,A of Hearts,8 of Spades,8 of Diamonds,3 of Diamonds,A of Clubs,10 of Diamonds,5 of Spades,2 of Clubs
537,K of Clubs,Q of Hearts,9 of Clubs,10 of Clubs,9 of Hearts,9 of Diamonds,K of Spades,6 of Clubs,K of Hearts,10 of Spades,4 of Spades,A of Spades,7 of Spades,Q of Clubs,J of Spades
538,10 of Clubs,6 of Clubs,5 of Clubs,Q of Spades,7 of Clubs,A of Spades,3 of Diamonds,4 of Clubs,10 of Diamonds,7 of Spades,7 of Diamonds,10 of Spades,6 of Hearts,3 of Clubs,A of Hearts
539,9 of Diamonds,Q of Spades,4 of Hearts,A of Clubs,3 of Spades,6 of Spades,4 of Spades,A of Diamonds,5 of Clubs,3 of Clubs,4 of Clubs,9 of Spades,K of Diamonds,J of Clubs,J of Diamonds
540,8 of Diamonds,9 of Hearts,K of Spades,A of Clubs,7 of Spades,2 of Spades,Q of Spades,8 of Spades,10 of Diamonds,6 of Spades,Q of Hearts,9 of Clubs,9 of Diamonds,5 of Spades,K of Hearts
541,4 of Diamonds,8 of Diamonds,K of Clubs,5 of Spades,7 of Hearts,J of Clubs,7 of Diamonds,Q of Clubs,10 of Hearts,Q of Diamonds,J of Hearts,9 of Diamonds,A of Hearts,3 of Spades,5 of Hearts
542,A of Hearts,A of Spades,4 of Spades,J of Clubs,4 of Hearts,3 of Spades,10 of Clubs,A of Clubs,2 of Hearts,A of Diamonds,4 of Clubs,6 of Clubs,6 of Spades,4 of Diamonds,K of Hearts
543,K of Hearts,3 of Clubs,4 of Hearts,9 of Diamonds,7 of Diamonds,3 of Spades,A of Spades,3 of Diamonds,6 of Spades,6 of Diamonds,A of Diamonds,10 of Clubs,Q of Spades,2 of Diamonds,8 of Spades
544,4 of Diamonds,A of Spades,4 of Clubs,2 of Hearts,8 of Diamonds,10 of Hearts,8 of Clubs,2 of Spades,J of Clubs,Q of Clubs,9 of Diamonds,5 of Clubs,6 of Clubs,8 of Hearts,9 of Spades
545,6 of Diamonds,A of Hearts,7 of Diamonds,9 of Diamonds,4 of Hearts,5 of Hearts,10 of Clubs,2 of Diamonds,2 of Hearts,A of Diamonds,K of Diamonds,7 of Spades,9 of Clubs,Q of Diamonds,5 of Spades
546,3 of Hearts,10 of Diamonds,8 of Clubs,4 of Diamonds,7 of Spades,5 of Diamonds,5 of Clubs,J of Clubs,7 of Hearts,4 of Spades,7 of Clubs,Q of Hearts,6 of Clubs,J of Spades,8 of Hearts
547,J of Hearts,7 of Diamonds,10 of Hearts,7 of Clubs,J of Spades,2 of Hearts,8 of Diamonds,K of Clubs,2 of Spades,9 of Clubs,K of Diamonds,Q of Hearts,8 of Spades,5 of Spades,10 of Clubs
548,4 of Diamonds,Q of Hearts,4 of Spades,3 of Spades,A of Clubs,2 of Diamonds,3 of Clubs,7 of Hearts,5 of Clubs,2 of Hearts,J of Clubs,9 of Clubs,6 of Spades,6 of Clubs,K of Spades
549,J of Hearts,6 of Spades,10 of Diamonds,4 of Clubs,8 of Clubs,A of Hearts,5 of Diamonds,2 of Diamonds,9 of Spades,9 of Clubs,K of Diamonds,4 of Spades,5 of Clubs,K of Spades,J of Spades
550,J of Spades,10 of Hearts,2 of Spades,6 of Hearts,3 of Diamonds,9 of Clubs,A of Clubs,6 of Diamonds,9 of Hearts,9 of Spades,10 of Spades,Q of Spades,J of Diamonds,9 of Diamonds,3 of Spades
551,Q of Hearts,5 of Clubs,6 of Diamonds,9 of Spades,3 of Hearts,4 of Spades,7 of Spades,10 of Spades,A of Spades,J of Hearts,A of Hearts,8 of Clubs,2 of Hearts,7 of Clubs,10 of Clubs
552,2 of Clubs,5 of Spades,10 of Diamonds,2 of Hearts,9 of Hearts,8 of Diamonds,J of Clubs,A of Hearts,Q of Spades,6 of Clubs,8 of Clubs,2 of Spades,6 of Diamonds,6 of Hearts,7 of Clubs
553,J of Hearts,9 of Diamonds,A of Clubs,Q of Hearts,J of Spades,8 of Diamonds,2 of Hearts,3 of Diamonds,7 of Diamonds,9 of Hearts,A of Hearts,2 of Clubs,9 of Spades,K of Clubs,3 of Clubs
554,2 of Diamonds,10 of Spades,A of Spades,A of Diamonds,4 of Hearts,K of Hearts,8 of Hearts,J of Spades,3 of Hearts,6 of Diamonds,9 of Clubs,9 of Spades,J of Diamonds,7 of Clubs,4 of Clubs
555,9 of Clubs,6 of Diamonds,2 of Clubs,8 of Clubs,3 of Diamonds,6 of Hearts,K of Diamonds,5 of Clubs,9 of Hearts,2 of Spades,A of Diamonds,Q of Spades,3 of Clubs,8 of Spades,6 of Clubs
556,J of Spades,A of Clubs,3 of Clubs,Q of Hearts,6 of Diamonds,7 of Diamonds,6 of Spades,9 of Clubs,K of Clubs,6 of Hearts,7 of Spades,4 of Spades,8 of Hearts,4 of Clubs,2 of Clubs
557,7 of Hearts,9 of Hearts,4 of Hearts,4 of Spades,6 of Hearts,Q of Clubs,8 of Diamonds,J of Diamonds,8 of Clubs,9 of Spades,6 of Spades,2 of Hearts,Q of Spades,5 of Clubs,3 of Clubs
558,9 of Spades,5 of Diamonds,4 of Clubs,2 of Hearts,6 of Diamonds,9 of Hearts,4 of Diamonds,Q of Spades,7 of Clubs,5 of Hearts,3 of Diamonds,J of Spades,3 of Hearts,9 of Clubs,9 of Diamonds
559,9 of Hearts,7 of Diamonds,4 of Hearts,3 of Hearts,10 of Hearts,5 of Clubs,J of Spades,2 of Diamonds,2 of Spades,9 of Clubs,3 of Clubs,8 of Spades,6 of Spades,4 of Diamonds,4 of Spades
560,A of Diamonds,7 of Spades,4 of Clubs,4 of Hearts,J of Diamonds,K of Clubs,7 of Clubs,9 of Diamonds,3 of Diamonds,9 of Spades,Q of Spades,9 of Hearts,8 of Diamonds,2 of Hearts,2 of Spades
561,7 of Spades,7 of Hearts,6 of Diamonds,Q of Hearts,9 of Diamonds,10 of Clubs,2 of Hearts,7 of Diamonds,2 of Clubs,4 of Clubs,J of Diamonds,Q of Diamonds,K of Clubs,10 of Spades,8 of Diamonds
562,A of Hearts,A of Clubs,8 of Hearts,Q of Spades,J of Diamonds,2 of Hearts,5 of Spades,5 of Clubs,3 of Clubs,3 of Hearts,4 of Spades,10 of Spades,9 of Clubs,A of Spades,4 of Clubs
563,7 of Clubs,4 of Spades,K of Diamonds,Q of Clubs,J of Clubs,Q of Spades,3 of Spades,7 of Spades,6 of Diamonds,5 of Spades,K of Hearts,10 of Hearts,2 of Clubs,8 of Spades,Q of Diamonds
564,7 of Clubs,7 of Diamonds,J of Spades,9 of Hearts,9 of Spades,K of Hearts,3 of Diamonds,5 of Clubs,5 of Diamonds,8 of Diamonds,K of Diamonds,3 of Hearts,6 of Spades,8 of Clubs,2 of Diamonds
565,2 of Hearts,6 of Hearts,J of Hearts,6 of Diamonds,3 of Diamonds,K of Diamonds,5 of Spades,10 of Hearts,A of Spades,10 of Clubs,4 of Spades,10 of Diamonds,4 of Hearts,5 of Clubs,6 of Clubs
566,7 of Spades,J of Clubs,3 of Clubs,2 of Diamonds,A of Diamonds,Q of Clubs,8 of Hearts,Q of Diamonds,9 of Hearts,Q of Hearts,10 of Spades,5 of Spades,K of Clubs,2 of Clubs,J of Spades
567,5 of Spades,8 of Diamonds,J of Hearts,9 of Diamonds,3 of Hearts,K of Clubs,A of Hearts,K of Diamonds,8 of Hearts,A of Spades,A of Clubs,2 of Spades,3 of Diamonds,5 of Clubs,10 of Clubs
568,10 of Hearts,J of Diamonds,4 of Diamonds,J of Spades,A of Diamonds,Q of Hearts,Q of Spades,6 of Clubs,5 of Diamonds,2 of Diamonds,6 of Hearts,3 of Diamonds,6 of Diamonds,8 of Spades,10 of Spades
569,4 of Clubs,6 of Hearts,9 of Diamonds,4 of Hearts,Q of Diamonds,A of Diamonds,8 of Spades,J of Hearts,8 of Diamonds,K of Diamonds,2 of Hearts,8 of Clubs,J of Spades,6 of Spades,3 of Hearts
570,10 of Clubs,4 of Clubs,J of Clubs,2 of Hearts,A of Hearts,Q of Clubs,7 of Hearts,4 of Hearts,5 of Clubs,5 of Diamonds,6 of Spades,10 of Spades,10 of Hearts,7 of Spades,8 of Clubs
571,3 of Clubs,3 of Hearts,7 of Hearts,J of Clubs,2 of Clubs,8 of Clubs,4 of Spades,5 of Spades,8 of Spades,6 of Hearts,2 of Diamonds,4 of Hearts,5 of Diamonds,10 of Hearts,10 of Diamonds
572,7 of Spades,2 of Clubs,J of Hearts,5 of Clubs,3 of Spades,2 of Spades,5 of Hearts,9 of Spades,6 of Clubs,5 of Diamonds,6 of Diamonds,8 of Hearts,K of Spades,4 of Clubs,7 of Clubs
573,A of Diamonds,10 of Spades,5 of Spades,10 of Hearts,8 of Hearts,Q of Spades,Q of Hearts,K of Clubs,2 of Spades,6 of Clubs,Q of Clubs,A of Hearts,8 of Clubs,7 of Clubs,10 of Clubs
574,5 of Hearts,6 of Diamonds,2 of Diamonds,6 of Spades,9 of Spades,6 of Hearts,10 of Spades,A of Diamonds,5 of Spades,9 of Diamonds,9 of Clubs,Q of Hearts,3 of Hearts,8 of Diamonds,8 of Spades
575,3 of Spades,2 of Diamonds,2 of Spades,5 of Clubs,A of Spades,7 of Clubs,5 of Diamonds,9 of Hearts,8 of Spades,10 of Spades,6 of Clubs,K of Hearts,2 of Hearts,6 of Hearts,J of Hearts
576,K of Diamonds,A of Clubs,6 of Hearts,Q of Diamonds,5 of Clubs,5 of Spades,4 of Hearts,3 of Hearts,A of Spades,2 of Clubs,7 of Spades,J of Diamonds,8 of Clubs,6 of Diamonds,7 of Diamonds
577,7 of Diamonds,Q of Diamonds,5 of Clubs,A of Diamonds,6 of Clubs,3 of Hearts,4 of Clubs,4 of Hearts,3 of Spades,4 of Diamonds,Q of Hearts,9 of Diamonds,K of Diamonds,2 of Hearts,8 of Clubs
578,7 of Spades,K of Diamonds,10 of Clubs,A of Clubs,6 of Diamonds,2 of Spades,2 of Clubs,Q of Spades,7 of Clubs,6 of Spades,A of Hearts,6 of Hearts,K of Clubs,9 of Hearts,3 of Spades
579,A of Diamonds,J of Clubs,7 of Clubs,7 of Diamonds,6 of Diamonds,10 of Hearts,3 of Spades,K of Hearts,7 of Spades,2 of Diamonds,6 of Clubs,10 of Diamonds,3 of Diamonds,5 of Hearts,6 of Spades
580,6 of Clubs,A of Hearts,10 of Hearts,10 of Diamonds,K of Diamonds,7 of Diamonds,Q of Hearts,8 of Clubs,8 of Spades,2 of Clubs,5 of Hearts,Q of Spades,J of Clubs,A of Spades,2 of Hearts
581,8 of Diamonds,9 of Hearts,6 of Clubs,6 of Hearts,2 of Spades,K of Diamonds,4 of Clubs,10 of Diamonds,5 of Hearts,J of Diamonds,3 of Clubs,9 of Diamonds,8 of Clubs,J of Clubs,3 of Diamonds
582,A of Hearts,J of Spades,4 of Hearts,10 of Hearts,3 of Hearts,8 of Clubs,Q of Spades,K of Diamonds,9 of Hearts,Q of Hearts,J of Diamonds,A of Diamonds,9 of Spades,7 of Clubs,6 of Diamonds
583,5 of Diamonds,3 of Spades,5 of Clubs,5 of Hearts,K of Spades,Q of Hearts,2 of Clubs,6 of Diamonds,6 of Spades,2 of Hearts,10 of Hearts,J of Hearts,J of Diamonds,10 of Spades,3 of Clubs
584,8 of Spades,10 of Spades,8 of Clubs,4 of Spades,Q of Spades,J of Diamonds,2 of Spades,9 of Hearts,3 of Spades,A of Spades,K of Hearts,8 of Diamonds,6 of Diamonds,9 of Diamonds,K of Diamonds
585,10 of Clubs,K of Clubs,7 of Clubs,9 of Hearts,5 of Clubs,8 of Spades,9 of Diamonds,5 of Diamonds,10 of Hearts,K of Diamonds,4 of Hearts,K of Hearts,2 of Spades,6 of Spades,J of Spades
586,7 of Clubs,J of Diamonds,2 of Spades,5 of Hearts,2 of Hearts,5 of Clubs,3 of Diamonds,7 of Hearts,Q of Hearts,8 of Clubs,3 of Spades,2 of Clubs,6 of Spades,A of Hearts,8 of Diamonds
587,10 of Clubs,8 of Diamonds,2 of Spades,Q of Diamonds,Q of Clubs,J of Diamonds,6 of Clubs,3 of Spades,5 of Clubs,8 of Hearts,A of Spades,6 of Hearts,K of Spades,6 of Spades,4 of Hearts
588,6 of Hearts,K of Spades,8 of Hearts,3 of Clubs,J of Spades,10 of Hearts,5 of Spades,4 of Hearts,K of Hearts,J of Hearts,2 of Diamonds,Q of Clubs,5 of Hearts,7 of Clubs,Q of Hearts
589,Q of Hearts,J of Clubs,10 of Hearts,10 of Clubs,3 of Clubs,2 of Diamonds,9 of Hearts,K of Hearts,3 of Diamonds,7 of Hearts,6 of Hearts,A of Clubs,7 of Clubs,K of Clubs,9 of Clubs
590,K of Spades,7 of Diamonds,6 of Hearts,6 of Spades,A of Hearts,8 of Clubs,4 of Diamonds,10 of Diamonds,4 of Clubs,9 of Clubs,6 of Clubs,6 of Diamonds,J of Spades,Q of Hearts,K of Hearts
591,J of Clubs,9 of Diamonds,Q of Diamonds,9 of Clubs,3 of Hearts,6 of Clubs,9 of Hearts,7 of Spades,A of Clubs,J of Hearts,Q of Hearts,2 of Clubs,5 of Spades,3 of Diamonds,K of Spades
592,10 of Hearts,9 of Diamonds,3 of Spades,Q of Diamonds,4 of Diamonds,4 of Spades,5 of Spades,6 of Hearts,J of Hearts,A of Diamonds,6 of Clubs,3 of Clubs,K of Hearts,7 of Spades,3 of Hearts
593,8 of Diamonds,K of Clubs,A of Diamonds,9 of Spades,A of Hearts,Q of Spades,A of Clubs,4 of Clubs,5 of Diamonds,4 of Diamonds,Q of Clubs,3 of Hearts,K of Diamonds,2 of Clubs,5 of Clubs
594,K of Diamonds,3 of Spades,6 of Diamonds,J of Diamonds,8 of Spades,Q of Clubs,7 of Spades,Q of Hearts,A of Hearts,7 of Hearts,A of Spades,6 of Hearts,3 of Clubs,4 of Diamonds,K of Hearts
595,K of Spades,Q of Hearts,10 of Hearts,J of Spades,9 of Diamonds,2 of Spades,J of Diamonds,Q of Spades,Q of Diamonds,5 of Diamonds,5 of Spades,8 of Clubs,3 of Spades,3 of Diamonds,Q of Clubs
596,K of Hearts,A of Spades,J of Spades,8 of Diamonds,3 of Clubs,9 of Diamonds,K of Clubs,7 of Hearts,8 of Hearts,2 of Hearts,J of Clubs,2 of Clubs,5 of Hearts,10 of Clubs,J of Hearts
597,Q of Spades,6 of Spades,A of Spades,8 of Diamonds,3 of Hearts,8 of Spades,10 of Diamonds,4 of Diamonds,10 of Spades,A of Diamonds,8 of Hearts,J of Spades,7 of Clubs,6 of Diamonds,3 of Diamonds
598,4 of Spades,4 of Hearts,9 of Spades,4 of Diamonds,3 of Hearts,Q of Diamonds,2 of Diamonds,2 of Clubs,7 of Clubs,10 of Clubs,5 of Hearts,6 of Spades,5 of Spades,J of Spades,6 of Clubs
599,Q of Hearts,4 of Diamonds,3 of Hearts,Q of Spades,10 of Hearts,2 of Spades,6 of Clubs,2 of Hearts,J of Spades,K of Diamonds,10 of Clubs,J of Hearts,Q of Clubs,6 of Hearts,6 of Diamonds
600,2 of Spades,2 of Hearts,A of Clubs,5 of Spades,7 of Diamonds,A of Diamonds,9 of Spades,10 of Diamonds,8 of Clubs,4 of Diamonds,4 of Spades,K of Spades,3 of Diamonds,3 of Spades,6 of Hearts
601,8 of Spades,8 of Diamonds,A of Spades,K of Clubs,4 of Hearts,3 of Diamonds,Q of Clubs,5 of Hearts,6 of Hearts,10 of Diamonds,A of Diamonds,10 of Hearts,Q of Hearts,9 of Hearts,J of Clubs
602,5 of Hearts,2 of Spades,3 of Hearts,9 of Hearts,K of Spades,2 of Hearts,8 of Spades,2 of Clubs,7 of Spades,6 of Diamonds,Q of Clubs,8 of Hearts,3 of Spades,10 of Spades,7 of Diamonds
603,K of Diamonds,Q of Spades,A of Diamonds,Q of Clubs,J of Diamonds,8 of Spades,8 of Diamonds,K of Clubs,J of Hearts,Q of Hearts,2 of Spades,5 of Clubs,4 of Spades,A of Spades,J of Spades
604,3 of Spades,8 of Hearts,10 of Clubs,5 of Clubs,5 of Diamonds,3 of Clubs,J of Spades,8 of Spades,3 of Diamonds,4 of Diamonds,Q of Clubs,K of Diamonds,J of Hearts,Q of Spades,A of Hearts
605,2 of Clubs,J of Hearts,3 of Hearts,2 of Diamonds,6 of Hearts,J of Diamonds,9 of Clubs,K of Diamonds,8 of Diamonds,5 of Diamonds,K of Clubs,4 of Clubs,8 of Spades,3 of Clubs,J of Spades
606,Q of Spades,J of Spades,9 of Spades,2 of Spades,A of Clubs,3 of Spades,K of Clubs,6 of Diamonds,9 of Clubs,8 of Diamonds,10 of Spades,K of Hearts,9 of Diamonds,A of Hearts,10 of Clubs
607,K of Diamonds,7 of Diamonds,J of Hearts,9 of Clubs,5 of Diamonds,2 of Diamonds,4 of Hearts,K of Clubs,9 of Spades,Q of Hearts,8 of Clubs,6 of Clubs,Q of Clubs,9 of Hearts,Q of Spades
608,6 of Clubs,5 of Diamonds,A of Diamonds,A of Spades,5 of Spades,J of Diamonds,J of Spades,Q of Hearts,3 of Spades,J of Hearts,10 of Hearts,Q of Diamonds,9 of Hearts,10 of Clubs,6 of Diamonds
609,K of Clubs,8 of Spades,K of Hearts,8 of Diamonds,3 of Clubs,Q of Spades,7 of Diamonds,9 of Hearts,6 of Spades,5 of Clubs,4 of Hearts,5 of Diamonds,10 of Diamonds,3 of Spades,J of Spades
610,9 of Clubs,4 of Diamonds,3 of Diamonds,2 of Hearts,A of Hearts,8 of Clubs,10 of Hearts,K of Spades,7 of Hearts,A of Diamonds,4 of Clubs,2 of Clubs,10 of Clubs,2 of Spades,10 of Diamonds
611,A of Diamonds,10 of Clubs,6 of Spades,7 of Spades,8 of Diamonds,K of Clubs,A of Clubs,3 of Clubs,K of Spades,9 of Clubs,10 of Diamonds,2 of Hearts,9 of Spades,Q of Hearts,2 of Diamonds
612,2 of Hearts,10 of Clubs,K of Clubs,7 of Spades,2 of Spades,5 of Diamonds,9 of Diamonds,10 of Hearts,Q of Diamonds,K of Diamonds,6 of Clubs,J of Diamonds,9 of Clubs,Q of Spades,7 of Hearts
613,8 of Clubs,10 of Spades,4 of Clubs,8 of Spades,4 of Spades,7 of Clubs,10 of Hearts,8 of Diamonds,9 of Clubs,5 of Diamonds,K of Hearts,3 of Spades,Q of Spades,3 of Clubs,3 of Diamonds
